# Normalized	195	8304.0 eV
# q in nm-1	I in cm-1	poisson_error
9.557776803716001579e-01	2.808377705514431000e-02	5.228559713179840515e-03
9.725035822436112198e-01	2.562737837433815002e-02	4.936860712546897734e-03
9.892294841156223928e-01	2.254248969256877899e-02	4.575337101815343983e-03
1.005955385987633566e+00	2.026444487273693085e-02	4.288965751956307602e-03
1.022681287859644739e+00	1.764418929815292358e-02	3.954636880940952219e-03
1.039407189731655690e+00	1.537157408893108368e-02	3.651503877747273256e-03
1.056133091603666863e+00	1.359255611896514893e-02	3.397250626831098842e-03
1.072858993475678036e+00	1.229476928710937500e-02	3.197923256927024446e-03
1.089584895347688986e+00	1.147816982120275497e-02	3.061587823895294165e-03
1.106310797219700159e+00	1.075774896889925003e-02	2.936720629653685397e-03
1.123036699091711332e+00	1.035069674253463745e-02	2.855550676182270001e-03
1.139762600963722505e+00	9.295909665524959564e-03	2.680714181373810342e-03
1.156488502835733456e+00	8.527553640305995941e-03	2.544852581406377694e-03
1.173214404707744629e+00	8.477848954498767853e-03	2.519355940065503771e-03
1.189940306579755802e+00	7.654205430299043655e-03	2.375708341001376254e-03
1.206666208451766753e+00	7.504168432205915451e-03	2.381242836562263467e-03
1.223392110323777926e+00	8.319447748363018036e-03	2.527008639253864979e-03
1.240118012195789099e+00	9.874762967228889465e-03	2.756196579815954183e-03
1.256843914067800050e+00	1.034432649612426758e-02	2.820813064516330786e-03
1.273569815939811223e+00	9.103918448090553284e-03	2.640743107100905485e-03
1.290295717811822396e+00	6.701517850160598755e-03	2.255273119273681990e-03
1.307021619683833569e+00	5.343574564903974533e-03	2.006515654373501080e-03
1.323747521555844520e+00	4.353903234004974365e-03	1.805058435377246851e-03
1.340473423427855693e+00	3.635250497609376907e-03	1.644145849664329848e-03
1.357199325299866866e+00	3.211008384823799133e-03	1.512738245249682992e-03
1.373925227171877816e+00	2.558475127443671227e-03	1.322305845565095554e-03
1.390651129043888989e+00	2.371009439229965210e-03	1.260818291429018209e-03
1.407377030915900162e+00	2.219778485596179962e-03	1.211465165540251973e-03
1.424102932787911335e+00	2.108088228851556778e-03	1.173612145822010809e-03
1.440828834659922286e+00	1.797884702682495117e-03	1.077042848575382981e-03
1.457554736531933459e+00	1.705595059320330620e-03	1.043757831380100806e-03
1.474280638403944632e+00	1.552208908833563328e-03	9.903508754858006934e-04
1.491006540275955805e+00	1.647040247917175293e-03	1.015663607660711879e-03
1.507732442147966756e+00	1.825259299948811531e-03	1.065042519917917731e-03
1.524458344019977929e+00	1.864227699115872383e-03	1.071931161982434336e-03
1.541184245891989102e+00	1.825414597988128662e-03	1.055934621570183904e-03
1.557910147764000053e+00	2.244718838483095169e-03	1.167430974921116176e-03
1.574636049636011226e+00	2.041683066636323929e-03	1.108161951930661986e-03
1.591361951508022399e+00	2.071742899715900421e-03	1.111614532664700460e-03
1.608087853380033572e+00	2.113275462761521339e-03	1.116669540916220274e-03
1.624813755252044523e+00	2.244154922664165497e-03	1.143481708092004747e-03
1.641539657124055696e+00	2.434135647490620613e-03	1.180762402248778037e-03
1.658265558996066869e+00	2.632335526868700981e-03	1.216035007211189621e-03
1.674991460868077819e+00	3.008730243891477585e-03	1.288808272253762948e-03
1.691717362740088992e+00	2.967654261738061905e-03	1.268797918839051396e-03
1.708443264612100165e+00	3.123068483546376228e-03	1.291223272318338866e-03
1.725169166484111338e+00	3.333224216476082802e-03	1.324131366403856567e-03
1.741895068356122289e+00	3.653922118246555328e-03	1.375527340209690150e-03
1.758620970228133462e+00	3.669993486255407333e-03	1.367154420399339888e-03
1.775346872100144635e+00	4.147828090935945511e-03	1.443881474663499418e-03
1.792072773972155586e+00	4.219271708279848099e-03	1.446045402295610205e-03
1.808798675844166759e+00	4.373391624540090561e-03	1.464058558465528015e-03
1.825524577716177932e+00	4.987102001905441284e-03	1.557610718790793883e-03
1.842250479588189105e+00	4.922525025904178619e-03	1.539400493534470900e-03
1.858976381460200056e+00	5.210899282246828079e-03	1.577374048860630913e-03
1.875702283332211229e+00	5.429050885140895844e-03	1.602423393027629060e-03
1.892428185204222402e+00	5.628757178783416748e-03	1.624245948256758994e-03
1.909154087076233353e+00	6.154453381896018982e-03	1.692151246602218058e-03
1.925879988948244526e+00	6.355352699756622314e-03	1.712326966712954821e-03
1.942605890820255699e+00	6.736948154866695404e-03	1.755954464715762942e-03
