# Example_ASAXS	Resonant
# q	I-Resonant
# nm-1	cm-1
8.834075945231569804e-01	2.922691653960949351e-04
8.999983732429223116e-01	2.693663123394995831e-04
9.165891519626876427e-01	2.975206304939652618e-04
9.331799306824529738e-01	2.273391133726195197e-04
9.497707094022184160e-01	2.237165438218241043e-04
9.663614881219837471e-01	2.577288094222687765e-04
9.829522668417490783e-01	2.980515178916099371e-04
9.995430455615144094e-01	3.160120357708334077e-04
1.016133824281279630e+00	2.407625284776822934e-04
1.032724603001045072e+00	2.271891313229780279e-04
1.049315381720810292e+00	2.235564019390513227e-04
1.065906160440575734e+00	2.014751431915630766e-04
1.082496939160340954e+00	1.786204295035587978e-04
1.099087717880106396e+00	1.698429227841742595e-04
1.115678496599871616e+00	1.285162745926254533e-04
1.132269275319637059e+00	1.612517313287072063e-04
1.148860054039402279e+00	9.782522361545153337e-05
1.165450832759167499e+00	8.927688062402024225e-05
1.182041611478932941e+00	6.319568076954383963e-05
1.198632390198698161e+00	2.651032399602917553e-05
1.215223168918463603e+00	5.084321205417481700e-06
1.231813947638229045e+00	6.680641481555772763e-05
1.248404726357994265e+00	3.780398790492098509e-05
1.264995505077759708e+00	5.941874809015751483e-05
1.281586283797524928e+00	8.112108712943589346e-05
1.298177062517290370e+00	9.770248475778032463e-05
1.314767841237055590e+00	4.780364718265857517e-05
1.331358619956821032e+00	2.198881644199542814e-05
1.347949398676586252e+00	4.942536124687325086e-05
1.364540177396351694e+00	8.398487718128474925e-05
1.381130956116116915e+00	6.810361611016854753e-05
1.397721734835882357e+00	2.146297769974039388e-05
1.414312513555647577e+00	-4.187175691878316762e-06
1.430903292275413019e+00	-4.149578762489699267e-06
1.447494070995178239e+00	2.188464209182905634e-05
1.464084849714943681e+00	2.100477124204178214e-05
1.480675628434708901e+00	6.713526528768748826e-05
1.497266407154474344e+00	7.826720947473494961e-05
1.513857185874239564e+00	8.098964056265831567e-05
1.530447964594005006e+00	1.136014063936985314e-05
1.547038743313770226e+00	1.905373614108985317e-05
1.563629522033535668e+00	5.472628729940638991e-05
1.580220300753300888e+00	4.540225669469609470e-05
1.596811079473066330e+00	-2.649336036323274920e-05
1.613401858192831551e+00	1.151159978279663733e-05
1.629992636912596993e+00	-2.889937171541358905e-05
1.646583415632362213e+00	4.533155064696329893e-05
1.663174194352127655e+00	1.719047141765562379e-05
1.679764973071892875e+00	-5.053231094475548195e-05
1.696355751791658317e+00	5.377047505620381534e-05
1.712946530511423537e+00	7.379674926741267731e-05
1.729537309231188980e+00	1.138751935835432484e-05
1.746128087950954422e+00	1.779759453641248149e-05
